Code,Label,Quality_Score,Source
"x=5
y=10
z=x+y
print(z)",Bad_Naming,,
"a=3
b=4
c=a*b
print(c)",Bad_Naming,,
"x1=7
y1=2
z1=x1-y1
print(z1)",Clean_Code,,
"a1=9
b1=3
c1=a1/b1
print(c1)",Clean_Code,,
"x=2
y=3
z=x**y
print(z)",Bad_Naming,,
"a=10
b=5
if a>b:
    print(a)",Bad_Naming,,
"x=0
for i in range(3):
    x+=i
print(x)",Clean_Code,,
"a=1
b=1
c=a+b
print(c)",Bad_Naming,,
"x=8
y=2
z=x//y
print(z)",Bad_Naming,,
"a=6
b=2
c=a%b
print(c)",Bad_Naming,,
"x=5
if x%2==0:
    print(""e"")
else:
    print(""o"")",Clean_Code,,
"a=3
b=3
c=a==b
print(c)",Bad_Naming,,
"x=1
while x<4:
    print(x)
    x+=1",Clean_Code,,
"a=2
b=5
c=min(a,b)
print(c)",Bad_Naming,,
"x=9
y=4
z=max(x,y)
print(z)
x=5
y=3
if x>0:
    if y>0:
        print(x+y)",Bad_Naming,,
"a=10
b=2
if a>b:
    if a%2==0:
        print(a//b)",Bad_Naming,,
"x=7
y=1
if x>y:
    if y!=0:
        print(x/y)",Bad_Naming,,
"a=4
b=9
if a<b:
    if b%3==0:
        print(a*b)",Bad_Naming,,
"x=6
y=2
if x%2==0:
    if y<5:
        print(x-y)",Bad_Naming,,
"a=3
b=8
if b>a:
    if a!=0:
        print(b/a)",Bad_Naming,,
"x=2
y=5
if y>x:
    if x<3:
        print(y**x)",Bad_Naming,,
"a=12
b=4
if a>=b:
    if b!=0:
        print(a/b)",Bad_Naming,,
"x=9
y=3
if x>y:
    if x%y==0:
        print(x//y)",Bad_Naming,,
"a=1
b=2
if b>a:
    if b<5:
        print(a+b)",Bad_Naming,,
"x=15
y=5
if x>=y:
    if y>0:
        print(x%y)",Bad_Naming,,
"a=20
b=10
if a>b:
    if b%2==0:
        print(a-b)",Bad_Naming,,
"x=8
y=2
if x>0:
    if y!=0:
        print(x/y)",Bad_Naming,,
"a=14
b=7
if a>=b:
    if a%7==0:
        print(a+b)",Bad_Naming,,
"x=11
y=6
if x>y:
    if y%2==0:
        print(x*y)

        first_number = 5
second_number = 10
sum_result = first_number + second_number
print(sum_result)",Bad_Naming,,
"length = 3
width = 4
area = length * width
print(area)",Clean_Code,,
"total_marks = 70
bonus_marks = 5
final_score = total_marks + bonus_marks
print(final_score)",Clean_Code,,
"temperature_celsius = 25
temperature_fahrenheit = (temperature_celsius * 9/5) + 32
print(temperature_fahrenheit)",Clean_Code,,
"numbers = [1, 2, 3]
total = 0
for number in numbers:
    total += number
print(total)",Clean_Code,,
"number = 8
if number % 2 == 0:
    print(""Even"")
else:
    print(""Odd"")",Clean_Code,,
"counter = 1
while counter <= 3:
    print(counter)
    counter += 1",Clean_Code,,
"value_a = 9
value_b = 3
division_result = value_a / value_b
print(division_result)",Clean_Code,,
"name = ""Hussein""
greeting_message = ""Hello, "" + name
print(greeting_message)",Clean_Code,,
"numbers = [5, 2, 8]
smallest_number = min(numbers)
print(smallest_number)",Clean_Code,,
"numbers = [5, 2, 8]
largest_number = max(numbers)
print(largest_number)",Clean_Code,,
"base = 2
exponent = 3
power_result = base ** exponent
print(power_result)",Clean_Code,,
"price = 100
discount = 20
final_price = price - discount
print(final_price)",Clean_Code,,
"user_age = 18
is_adult = user_age >= 18
print(is_adult)",Clean_Code,,
"text = ""python""
uppercase_text = text.upper()
print(uppercase_text)

x=5
y=10
a=x+y
print(a)",Bad_Naming,,
"a=3
b=4
c=a*b
print(c)",Bad_Naming,,
"x=9
y=2
z=x-y
print(z)",Bad_Naming,,
"a=8
b=2
c=a/b
print(c)",Bad_Naming,,
"x=1
y=2
z=3
print(x+y+z)",Bad_Naming,,
"a=7
b=3
c=a%b
print(c)",Bad_Naming,,
"x=4
y=2
z=x**y
print(z)",Bad_Naming,,
"a=10
b=5
c=a//b
print(c)",Bad_Naming,,
"x=6
y=7
z=x*y+y
print(z)",Bad_Naming,,
"a=2
b=3
c=4
print(a*b*c)",Bad_Naming,,
"x=5
y=3
z=(x+y)*2
print(z)",Bad_Naming,,
"a=9
b=1
c=a-b+5
print(c)",Bad_Naming,,
"x=7
y=2
z=x%y+x
print(z)",Bad_Naming,,
"a=6
b=2
c=a**b-b
print(c)",Bad_Naming,,
"x=3
y=3
z=x*y+y
print(z)",Bad_Naming,,
"a=11
b=5
c=a-b*b
print(c)",Bad_Naming,,
"x=8
y=2
z=(x/y)+1
print(z)",Bad_Naming,,
"a=4
b=4
c=a*b-b
print(c)",Bad_Naming,,
"x=2
y=5
z=x+y*3
print(z)",Bad_Naming,,
"a=3
b=6
c=a*b+a
print(c)",Bad_Naming,,
"x=10
y=2
z=x/y+y
print(z)",Bad_Naming,,
"a=1
b=9
c=b-a*2
print(c)",Bad_Naming,,
"x=6
y=3
z=x*y*2
print(z)",Bad_Naming,,
"a=5
b=5
c=a+b+b
print(c)",Bad_Naming,,
"x=12
y=4
z=x//y+3
print(z)",Bad_Naming,,
"a=9
b=2
c=a**b+1
print(c)",Bad_Naming,,
"x=7
y=1
z=x-y*2
print(z)",Bad_Naming,,
"a=8
b=3
c=a%b+4
print(c)",Bad_Naming,,
"x=2
y=8
z=y-x+x
print(z)",Bad_Naming,,
"a=10
b=3
c=a//b+b
print(c)",Bad_Naming,,
"x=9
y=9
z=x+y+y
print(z)",Bad_Naming,,
"a=6
b=1
c=a*b+b
print(c)",Bad_Naming,,
"x=3
y=7
z=x+y*2
print(z)",Bad_Naming,,
"a=4
b=2
c=a**b+2
print(c)",Bad_Naming,,
"x=11
y=5
z=x-y+2
print(z)",Bad_Naming,,
"a=2
b=2
c=a+b+a+b
print(c)",Bad_Naming,,
